STATE,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,NO_LANES,SP_LIMIT,FATALS,DRUNK_DR,LATITUDE,LONGITUD
1,3,30,19,30,2,10,2,40,3,0,32455283,86374013
1,3,30,7,10,1,1,2,45,1,0,34031625,85273452
1,3,31,11,35,3,4,4,70,1,0,30401095,88025238
1,3,31,12,35,1,1,2,45,1,0,34103606,88021931
1,3,31,20,40,1,1,2,45,1,0,31240991,87203155
1,3,10,22,15,1,2,2,55,1,1,32014034,87313388
1,3,24,3,20,1,2,2,45,1,1,32460721,85482213
1,4,1,18,42,2,6,2,55,1,0,32474960,87065388
1,4,1,20,35,1,2,4,45,1,0,30420405,88133180
1,4,1,18,35,1,1,2,65,1,1,32162722,86102278
1,4,2,17,50,1,1,4,45,1,0,34010179,86445103
1,4,2,15,10,2,2,2,45,1,0,30402253,88122760
1,4,3,14,9,2,2,4,60,1,0,34482348,86341992
1,4,3,16,0,1,1,2,40,1,0,34393717,86310220
1,4,4,8,45,1,1,2,55,1,0,31370204,87382658
1,4,4,7,25,1,1,2,55,1,0,33195326,87341875
1,4,5,7,7,1,2,4,45,1,0,32280933,85045998
1,4,6,12,28,2,5,2,70,1,0,33483174,86493106
1,4,6,15,45,5,5,2,55,2,0,33470498,85554417
1,4,7,21,15,1,1,2,55,1,0,30424081,88181405
1,4,7,2,0,2,4,2,55,2,2,31143522,85341385
1,4,7,2,10,1,3,2,55,1,1,32122962,86331380
1,4,7,16,15,1,1,2,55,1,0,32525985,87135095
1,4,7,20,0,1,5,2,70,2,0,33191256,86471167
1,4,8,0,48,2,1,2,45,1,1,30263463,87531037
1,4,9,9,55,1,4,2,70,1,0,33073930,87384525
1,4,9,17,20,1,1,2,45,1,0,34382958,87463362
1,4,11,21,42,2,2,2,30,1,0,34445534,87414808
1,4,11,23,50,1,1,2,35,1,1,30293314,87552441
1,4,12,11,18,2,2,2,45,1,0,32564336,85122964
1,4,12,2,2,2,3,2,70,2,0,34033466,86515951
1,4,13,0,1,2,2,2,55,1,0,34482818,86591415
1,4,14,13,10,2,4,2,55,2,0,32345851,87353215
1,4,14,1,0,1,1,2,45,1,0,33143471,86344503
1,4,14,20,19,2,5,2,70,1,0,34375650,86515971
1,4,14,1,0,1,4,2,45,2,0,34152899,86091966
1,4,15,3,15,1,1,2,35,1,1,33155049,86133653
1,4,16,13,5,3,5,2,55,1,1,34132402,85340117
1,4,17,17,14,1,1,2,60,1,0,33332379,85425028
1,1,8,8,3,2,5,2,55,1,0,34392406,86000566
1,4,16,13,49,3,7,2,40,1,0,31263323,85385643
1,4,17,0,45,2,2,4,70,1,1,33385212,85253351
1,4,18,12,15,2,3,2,55,1,0,33112988,85435892
1,4,18,15,12,3,3,2,45,1,0,34462274,87221187
1,4,18,20,40,2,3,2,55,1,0,33162947,87453702
1,4,19,15,50,1,1,2,50,1,0,33075837,86523680
1,4,19,20,0,2,5,4,55,2,0,33385031,85515484
1,4,20,8,55,2,2,2,55,1,0,34132904,87543263
1,4,20,12,15,2,2,2,45,1,1,30272868,87440212
1,4,21,0,50,1,2,2,45,1,0,33490911,87184418
1,4,21,12,15,1,1,2,55,1,0,32251975,85211418
1,4,21,20,25,1,1,2,35,1,1,30241418,87460546
1,4,21,10,30,2,3,4,55,1,0,34112925,86471219
1,4,22,22,10,2,2,2,55,1,0,31104014,86344481
1,4,24,1,15,1,2,2,45,1,0,34570916,85451456
1,4,17,7,15,2,2,2,55,1,0,30332067,88204024
1,3,31,3,0,1,1,2,45,1,1,33355907,86544287
1,4,24,16,35,1,1,2,55,1,0,34465463,85432027
1,4,25,1,15,1,2,4,70,1,1,32291325,85381397
1,4,26,8,50,1,1,2,40,1,0,33312226,85243189
1,4,27,8,50,1,3,2,70,1,0,33000483,87460382
1,4,27,18,5,1,4,2,70,1,0,33081204,87380080
1,4,27,18,28,2,3,2,45,1,0,34265343,86515956
1,4,30,10,27,2,2,2,65,1,0,34260248,86155177
1,4,27,19,35,2,5,2,35,1,1,32212884,86222507
1,4,28,16,5,2,4,2,40,1,0,33550468,85332855
1,4,28,16,30,2,3,2,55,1,1,30552716,88120269
1,4,29,16,10,1,3,2,45,1,0,30452802,88133199
1,4,29,17,25,1,1,2,35,1,1,33311323,86084991
1,4,3,1,42,1,3,2,30,1,0,30413352,88123551
1,5,1,4,45,1,1,2,45,1,0,32472364,86460724
1,5,1,8,30,2,2,2,55,1,0,30330916,88072545
1,4,6,14,49,2,2,2,25,1,1,33142106,87290858
1,5,2,14,0,2,2,2,45,1,0,31353945,85314936
1,5,2,18,30,1,6,2,45,1,0,34512390,86395765
1,5,2,21,40,1,4,2,25,1,1,33154068,87041610
1,5,3,4,40,1,1,2,70,1,1,33081185,86444262
1,5,4,19,40,1,2,2,40,1,0,33283143,85223850
1,5,4,23,50,2,3,2,65,1,0,34421841,87391170
1,5,5,7,15,1,3,2,65,1,1,32593685,87134761
1,5,5,17,0,1,2,2,45,1,1,31285757,87502834
1,5,5,23,15,1,1,2,35,1,1,32595535,86534318
1,5,5,20,30,1,1,2,25,1,0,32224782,86154855
1,5,6,13,45,1,2,2,55,2,0,32033261,86202612
1,5,6,15,15,1,1,2,45,1,0,31190017,86564013
1,5,6,16,5,2,3,2,55,1,1,30184161,88081735
1,5,6,0,1,1,1,2,55,1,0,34101740,86410908
1,5,6,0,21,1,3,2,35,1,1,33501574,87162429
